City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,belmonte,40,BR,1595722912,88,-15.86,-38.88,71.6,2.24
88,coquimbo,90,CL,1595722721,62,-29.95,-71.34,55.4,8.05
89,hobart,0,AU,1595722770,70,-42.88,147.33,51.01,5.82
90,kutum,48,SD,1595722913,37,14.2,24.67,82.22,8.59
91,constitucion,86,CL,1595722913,77,-35.33,-72.42,48.29,3.8
92,saraland,100,US,1595722913,91,30.82,-88.07,79.0,5.12
93,atambua,94,ID,1595722913,62,-9.11,124.89,74.8,5.32
94,bathsheba,40,BB,1595722914,78,13.22,-59.52,82.4,13.87
95,komsomolskiy,79,UZ,1595722914,50,40.43,71.72,77.0,6.93
96,homer,90,US,1595722914,93,59.64,-151.55,53.6,11.41
97,tasiilaq,90,GL,1595722915,81,65.61,-37.64,44.6,10.29
98,esperance,75,AU,1595722691,93,-33.87,121.9,57.2,13.87
99,torbay,75,CA,1595722915,87,47.67,-52.73,62.01,12.75
100,hualmay,10,PE,1595722915,85,-11.1,-77.61,60.58,9.33
101,hamilton,1,US,1595722916,51,39.18,-84.53,87.01,6.93
102,kollam,75,IN,1595722916,88,8.88,76.6,80.6,1.12
103,saint-philippe,20,RE,1595722916,59,-21.36,55.77,68.0,8.05
104,bela vista,98,IN,1595722917,65,25.93,81.98,84.18,4.7
105,turkistan,0,KZ,1595722917,26,43.0,68.0,79.65,13.15
106,gigmoto,93,PH,1595722917,79,13.78,124.39,82.74,2.15
107,storforshei,95,NO,1595722918,98,66.4,14.52,48.0,1.81
108,pirenopolis,20,BR,1595722918,45,-15.85,-48.96,68.0,8.05
109,georgetown,20,MY,1595722630,88,5.41,100.34,78.8,5.68
110,victoria,99,HK,1595722768,74,22.29,114.16,88.0,11.01
111,dwarka,100,IN,1595722919,82,22.24,68.97,83.35,10.74
112,phan rang,69,TH,1595722919,88,19.55,99.74,80.6,5.82
113,gizo,21,SB,1595722919,71,-8.1,156.84,83.93,10.4
114,moron,6,AR,1595722690,65,-34.65,-58.62,51.01,7.76
115,srednekolymsk,1,RU,1595722920,26,67.45,153.68,88.52,8.43
116,pizarro,100,CO,1595722921,88,4.95,-77.37,77.81,6.8
117,takoradi,65,GH,1595722921,88,4.88,-1.76,74.03,8.14
118,tema,75,GH,1595722814,88,5.67,-0.02,77.0,13.87
119,hasaki,75,JP,1595722922,100,35.73,140.83,77.0,3.36
120,hithadhoo,100,MV,1595722922,67,-0.6,73.08,82.42,3.18
121,grindavik,75,IS,1595722722,87,63.84,-22.43,46.4,21.92
122,north bend,100,FR,1595722922,100,50.33,3.67,63.0,5.82
123,kirkuk,0,IQ,1595722923,12,35.47,44.39,90.32,8.99
124,luderitz,0,NA,1595722923,82,-26.65,15.16,55.4,6.93
125,dinajpur,99,BD,1595722923,79,25.63,88.64,83.3,3.15
126,kailua,90,US,1595722923,69,21.4,-157.74,82.99,11.41
127,norman wells,1,US,1595722644,55,35.22,-97.44,90.0,11.41
128,cayenne,24,GF,1595722924,94,4.93,-52.33,75.2,3.36
129,shelburne,20,CA,1595722924,47,44.08,-80.2,80.6,5.82
130,vila velha,20,PT,1595722924,93,42.03,-8.16,66.0,2.24
131,havre-saint-pierre,90,CA,1595722924,87,50.23,-63.6,59.0,6.93
132,goodlettsville,75,US,1595722803,83,36.32,-86.71,82.99,5.82
133,asau,95,RO,1595722925,90,46.43,26.4,62.01,2.24
134,bredasdorp,18,ZA,1595722925,93,-34.53,20.04,57.2,5.82
135,copacabana,75,CO,1595722925,72,6.35,-75.51,68.0,6.93
136,znamenskoye,99,RU,1595722926,91,57.13,73.83,54.7,5.59
137,biak,100,ID,1595722926,89,-0.91,122.88,75.79,9.26
138,inirida,79,CO,1595722926,95,3.87,-67.92,75.96,1.81
139,ada,1,US,1595722926,11,43.42,-116.13,89.6,11.41
140,charlestown,93,AU,1595722802,98,-32.95,151.67,60.01,5.48
141,beringovskiy,49,RU,1595722927,59,63.05,179.32,65.01,5.5
142,arman,92,RU,1595722927,70,59.7,150.17,59.67,5.93
143,lorengau,100,PG,1595722927,78,-2.02,147.27,83.55,16.42
144,pisco,40,PE,1595722752,77,-13.7,-76.22,62.6,8.05
145,geraldton,0,AU,1595722928,93,-28.77,114.6,51.8,11.41
146,talcahuano,75,CL,1595722928,87,-36.72,-73.12,55.4,10.29
147,aspindza,76,GE,1595722928,71,41.57,43.25,62.24,4.05
148,kaitangata,95,NZ,1595722929,58,-46.28,169.85,55.99,4.0
149,lazaro cardenas,86,DO,1595722929,70,19.46,-71.33,84.0,7.0
150,beyneu,68,KZ,1595722746,21,45.32,55.2,78.64,10.78
151,chumikan,100,RU,1595722929,93,54.72,135.31,50.92,7.96
152,cabo san lucas,40,BR,1595722929,74,-8.28,-35.03,78.8,13.87
153,klaksvik,100,FO,1595722738,87,62.23,-6.59,51.8,21.92
154,orumiyeh,0,IR,1595722930,63,37.55,45.08,64.4,6.93
155,porto novo,75,PT,1595722855,93,41.15,-8.61,66.0,9.17
156,revda,20,RU,1595722930,82,56.8,59.93,57.2,4.47
157,touros,20,BR,1595722930,88,-5.2,-35.46,73.4,6.93
158,aguimes,40,ES,1595722931,69,27.91,-15.45,73.4,27.51
159,sorland,92,NO,1595722931,89,67.67,12.69,53.37,9.89
160,ribeira grande,75,ES,1595722931,82,42.75,-8.44,66.99,2.24
161,hobyo,46,SO,1595722931,79,5.35,48.53,76.78,20.49
162,bubaque,100,GW,1595722733,85,11.28,-15.83,79.7,16.22
163,qaanaaq,0,GL,1595722932,57,77.48,-69.36,45.12,0.49
164,uglekamensk,76,RU,1595722932,58,43.22,133.23,74.75,1.5
165,minas,20,UY,1595722932,75,-34.38,-55.24,46.0,6.93
166,ratnagiri,96,IN,1595722933,86,16.98,73.3,78.89,13.27
167,lukulu,0,ZM,1595722933,61,-14.37,23.24,51.64,5.75
168,jumla,28,NP,1595722933,70,29.27,82.18,59.18,1.32
169,port elizabeth,0,CD,1595722904,41,-7.03,29.76,68.14,6.13
170,salym,8,RU,1595722934,86,60.06,71.48,50.5,4.0
171,vardo,0,NO,1595722934,76,70.37,31.11,56.5,5.3
172,acapulco,75,MX,1595722934,70,16.86,-99.89,86.0,4.7
173,tuatapere,97,NZ,1595722934,76,-46.13,167.68,51.03,6.13
174,portland,20,US,1595722604,36,45.52,-122.68,82.99,11.41
175,markala,6,ML,1595722935,67,13.7,-6.07,81.39,5.21
176,kapuskasing,90,CA,1595722935,83,49.42,-82.43,78.8,8.05
177,atuona,5,PF,1595722936,75,-9.8,-139.03,79.57,21.23
178,san cosme y damian,32,ML,1595722832,68,13.3,-4.9,81.59,8.99
179,aklavik,90,CA,1595722936,81,68.22,-135.01,53.6,5.82
180,payo,2,ID,1595722936,91,-3.75,103.64,70.92,1.95
181,almeria,0,ES,1595722937,83,37.17,-2.33,78.8,0.25
182,qarayeri,75,AZ,1595722937,73,40.79,46.31,75.2,4.7
183,gat,0,IL,1595722937,62,31.61,34.76,79.0,1.57
184,bushehr,1,IR,1595722937,70,28.97,50.84,89.87,3.44
185,nacala,70,MZ,1595722937,75,-14.54,40.67,68.9,11.65
186,raudeberg,70,NO,1595722938,87,61.99,5.14,55.4,5.82
187,saint-pierre,20,RE,1595722938,59,-21.34,55.48,60.8,8.05
188,aneho,20,TG,1595722938,83,6.23,1.6,77.0,13.87
189,rabaul,26,PG,1595722939,66,-4.2,152.17,86.0,9.66
190,sangar,20,RU,1595722939,68,63.92,127.47,63.36,5.12
191,bethel,1,US,1595722926,65,41.37,-73.41,82.0,5.82
192,saint-joseph,20,RE,1595722939,59,-21.37,55.62,60.8,8.05
193,villerupt,100,FR,1595722940,82,49.47,5.93,66.0,6.02
194,kodiak,90,US,1595722683,82,57.79,-152.41,55.4,9.17
195,hirara,75,JP,1595722940,79,24.8,125.28,87.8,8.05
196,airai,92,TL,1595722692,66,-8.93,125.41,63.59,5.28
197,mar del plata,40,ES,1595722941,82,43.4,-4.01,69.01,5.82
198,tubuala,75,PA,1595722941,83,9.52,-79.03,81.0,2.24
199,preobrazheniye,95,RU,1595722941,74,42.9,133.91,65.97,16.04
200,singkawang,92,ID,1595722941,91,0.9,109.0,76.78,5.86
201,masallatah,0,LY,1595722941,55,32.62,14.0,74.03,3.06
202,kapaa,75,US,1595722684,78,22.08,-159.32,84.99,17.22
203,ketchikan,90,US,1595722825,100,55.34,-131.65,57.2,16.11
204,puerto escondido,0,ES,1595722942,69,36.59,-6.23,80.01,4.7
205,sitka,90,US,1595722713,93,57.05,-135.33,57.2,4.7
206,ranong,20,TH,1595722942,94,9.97,98.63,77.0,2.01
207,mount gambier,96,GB,1595722943,91,53.66,-1.85,55.99,5.01
208,sokolow podlaski,18,PL,1595722943,86,52.41,22.25,55.89,2.15
209,ancud,90,CL,1595722943,100,-41.87,-73.82,48.99,5.82
210,ilebo,37,CD,1595722943,58,-4.32,20.58,73.63,0.87
211,mayo,1,US,1595722944,66,38.89,-76.51,84.99,3.36
212,bodmin,53,GB,1595722944,93,50.47,-4.72,59.0,16.11
213,hami,10,CN,1595722944,25,42.8,93.45,83.35,12.24
214,kiruna,100,SE,1595722944,100,67.86,20.23,51.8,9.17
215,teknaf,99,BD,1595722945,87,20.86,92.31,79.84,3.76
216,ulladulla,90,AU,1595722945,100,-35.35,150.47,57.2,2.04
217,saldanha,40,ZA,1595722945,87,-33.01,17.94,57.2,3.36
218,butaritari,26,KI,1595722946,76,3.07,172.79,83.5,15.05
219,tarrega,0,ES,1595722946,78,41.65,1.14,77.0,3.0
220,kahului,40,US,1595722734,43,20.89,-156.47,91.4,23.04
221,mount isa,96,GB,1595722946,91,53.66,-1.85,55.99,5.01
222,choix,50,MX,1595722947,56,26.71,-108.32,90.27,6.24
223,malanje,0,AO,1595722947,47,-9.54,16.34,58.08,3.29
224,oranjemund,0,NA,1595722947,85,-28.55,16.43,57.81,10.25
225,fortuna,20,US,1595722714,72,40.6,-124.16,66.99,14.99
226,marawi,98,PH,1595722947,79,8.0,124.29,81.0,4.0
227,ehingen,96,DE,1595722948,72,48.28,9.73,62.6,1.12
228,isangel,75,VU,1595722676,65,-19.55,169.27,80.6,6.93
229,arlit,38,NE,1595722948,26,18.74,7.39,94.41,7.61
230,beira,20,MZ,1595722948,77,-19.84,34.84,68.0,9.17
231,castro,98,BR,1595722949,88,-24.79,-50.01,55.69,0.87
232,zhanaozen,0,KZ,1595722949,46,43.3,52.8,75.54,6.51
233,luwuk,100,ID,1595722949,85,-0.95,122.79,77.0,8.99
234,vanimo,100,PG,1595722949,77,-2.67,141.3,82.2,4.27
235,ahuimanu,90,US,1595722949,69,21.44,-157.84,89.6,11.41
236,dalvik,90,IS,1595722950,87,65.97,-18.53,46.4,9.17
237,bengkulu,12,ID,1595722950,90,-3.8,102.27,74.23,5.03
238,codrington,0,AU,1595722950,80,-38.27,141.97,46.67,2.1
239,margate,66,GB,1595722950,99,51.38,1.39,60.01,17.34
240,basco,100,PH,1595722951,76,20.45,121.97,85.57,8.21
241,kalmunai,94,LK,1595722951,76,7.42,81.82,80.19,3.2
242,kavieng,99,PG,1595722951,74,-2.57,150.8,84.87,14.88
243,sioux lookout,1,US,1595722951,62,42.73,-96.23,90.0,18.34
244,fengcheng,85,CN,1595722951,71,40.45,124.07,75.33,2.71
245,hjelset,30,NO,1595722952,81,62.78,7.48,51.8,6.93
246,karaton,20,ID,1595722952,65,-6.34,106.1,78.8,6.93
247,puerto baquerizo moreno,0,ES,1595722942,69,36.59,-6.23,80.01,4.7
248,moba,0,CN,1595722952,78,33.23,105.02,58.96,5.19
249,grand gaube,1,US,1595722953,34,38.88,-109.5,84.99,18.34
250,lincoln,1,US,1595722831,52,40.8,-96.67,91.4,20.8
251,grand river south east,1,US,1595722953,34,38.88,-109.5,84.99,18.34
252,plouzane,20,FR,1595722953,87,48.38,-4.62,60.8,6.93
253,mehran,7,IR,1595722954,50,33.12,46.16,75.2,4.7
254,vila,20,PT,1595722954,93,42.03,-8.16,66.0,3.36
255,dingle,71,PH,1595722954,80,11.0,122.67,81.84,0.92
256,san jose,32,ML,1595722954,68,13.3,-4.9,81.59,8.99
257,ahipara,82,NZ,1595722955,60,-35.17,173.17,57.16,7.83
258,arraial do cabo,0,BR,1595722955,49,-22.84,-46.65,68.0,8.05
259,bowen,75,AU,1595722955,100,-20.02,148.23,75.0,3.36
260,hornepayne,99,CA,1595722956,81,49.21,-84.77,75.49,10.89
261,praia da vitoria,90,CV,1595722956,88,14.92,-23.51,78.8,6.93
262,almaznyy,54,RU,1595722956,37,48.04,40.05,71.6,15.66
263,sao felix do xingu,23,IN,1595722956,92,20.51,76.21,73.56,6.17
264,tiksi,100,RU,1595722957,96,71.69,128.87,39.38,18.21
265,tilichiki,0,RU,1595722673,53,60.47,166.1,68.88,5.59
266,oban,92,GB,1595722957,96,56.41,-5.47,55.99,1.01
267,bethanien,0,NA,1595722958,42,-26.5,17.16,52.09,1.12
268,naantali,14,FI,1595722958,93,60.47,22.02,50.0,3.36
269,tornio,90,FI,1595722958,93,65.85,24.15,57.2,8.05
270,iqaluit,75,CA,1595722685,81,63.75,-68.51,51.8,7.23
271,kununurra,0,AU,1595722734,25,-15.77,128.73,73.4,10.29
272,nome,1,US,1595722959,76,64.5,-165.41,55.99,5.82
273,kahuta,90,PK,1595722959,100,33.59,73.39,73.4,13.87
274,azul,100,AR,1595722959,65,-36.78,-59.86,46.99,3.0
275,turukhansk,98,RU,1595722959,75,65.82,87.98,54.86,5.7
276,teeli,9,RU,1595722960,59,51.03,90.23,60.26,1.59
277,cap malheureux,75,FR,1595722960,100,49.27,-1.21,62.01,11.41
278,lagoa,0,PT,1595722960,89,39.05,-27.98,71.6,16.62
279,cape canaveral,75,CL,1595722902,76,-36.41,-71.9,48.2,6.93
280,tanete,11,ID,1595722961,75,-3.94,119.78,77.67,11.48
281,padang,97,ID,1595722961,78,-0.95,100.35,76.91,4.29
282,trairi,89,BR,1595722961,76,-3.28,-39.27,78.35,11.65
283,lake city,1,US,1595722961,61,42.33,-88.0,88.0,8.05
284,ludvika,51,SE,1595722962,76,60.15,15.19,55.4,6.93
285,ixtapa,90,MX,1595722962,83,20.7,-105.2,84.99,9.17
286,fomboni,30,KM,1595722962,70,-12.28,43.74,76.8,27.27
287,palimbang,87,PH,1595722962,65,6.21,124.19,83.95,0.4
288,voh,2,NC,1595722963,56,-20.97,164.7,79.43,7.74
289,panara,3,IN,1595722963,96,22.07,78.55,71.49,3.62
290,visby,74,SE,1595722963,87,57.64,18.3,55.4,8.05
291,agadez,0,NE,1595722963,14,19.75,10.25,87.62,6.96
292,pangnirtung,43,CA,1595722963,68,66.15,-65.71,53.06,3.89
293,evansville,20,US,1595722830,62,37.97,-87.56,90.0,4.7
294,kastamonu,0,TR,1595722964,76,41.5,33.67,56.48,0.98
295,bonavista,29,CA,1595722964,84,48.65,-53.11,61.54,11.52
296,havelock,75,US,1595722964,79,34.88,-76.9,84.2,4.7
297,danville,1,US,1595722964,70,36.59,-79.39,84.2,3.36
298,westport,75,US,1595722965,74,41.14,-73.36,82.4,8.05
299,bandarbeyla,30,SO,1595722965,68,9.49,50.81,77.97,25.77
300,asosa,100,ET,1595722965,100,10.07,34.53,60.87,2.26
301,talnakh,40,RU,1595722965,87,69.49,88.4,48.2,29.08
302,leo,84,BF,1595722966,92,11.1,-2.1,73.78,1.7
303,maryville,75,US,1595722966,83,35.76,-83.97,75.2,3.36
304,okhotsk,0,RU,1595722966,64,59.38,143.3,61.74,11.25
305,chalakudi,40,IN,1595722966,94,10.3,76.34,78.8,2.93
306,nanortalik,99,GL,1595722700,84,60.14,-45.24,44.4,4.7
307,san rafael,32,ML,1595722901,68,13.3,-4.9,81.59,8.99
308,janauba,0,BR,1595722967,61,-15.8,-43.31,68.18,11.63
309,alugan,21,PH,1595722967,76,12.22,125.48,83.53,2.73
310,narsaq,100,GL,1595722746,93,60.92,-46.05,46.4,5.82
311,skovorodino,92,RU,1595722968,71,53.98,123.92,73.11,3.0
